
2025/01/28 (05:38:42) | ===> btop++ v.1.4.0
2025/01/28 (05:38:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (07:53:29) | ===> btop++ v.1.4.0
2025/01/28 (07:53:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (08:22:19) | ===> btop++ v.1.4.0
2025/01/28 (08:22:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (22:15:16) | ===> btop++ v.1.4.0
2025/01/28 (22:15:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (01:25:32) | ===> btop++ v.1.4.0
2025/01/29 (01:25:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (01:26:20) | ===> btop++ v.1.4.0
2025/01/29 (01:26:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (01:36:32) | ===> btop++ v.1.4.0
2025/01/29 (01:36:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (02:00:42) | ===> btop++ v.1.4.0
2025/01/29 (02:00:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (05:40:09) | ===> btop++ v.1.4.0
2025/01/29 (05:40:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (03:04:16) | ===> btop++ v.1.4.0
2025/01/30 (03:04:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (03:07:19) | ===> btop++ v.1.4.0
2025/01/30 (03:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (05:53:53) | ===> btop++ v.1.4.0
2025/01/31 (05:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (05:38:16) | ===> btop++ v.1.4.0
2025/02/01 (05:38:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (06:02:30) | ===> btop++ v.1.4.0
2025/02/16 (06:02:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (09:30:02) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (19:18:24) | ===> btop++ v.1.4.0
2025/02/16 (19:18:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (19:18:31) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (19:22:49) | ===> btop++ v.1.4.0
2025/02/16 (19:22:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (19:22:56) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (19:24:01) | ===> btop++ v.1.4.0
2025/02/16 (19:24:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (19:24:08) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (01:31:33) | ===> btop++ v.1.4.0
2025/02/17 (01:31:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (01:32:16) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (01:45:01) | ===> btop++ v.1.4.0
2025/02/17 (01:45:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (01:46:30) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (01:46:33) | ===> btop++ v.1.4.0
2025/02/17 (01:46:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (01:46:41) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (03:04:52) | ===> btop++ v.1.4.0
2025/02/17 (03:04:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (03:05:00) | WARNING: Failed to join _runner thread on exit!

2025/02/20 (22:50:22) | ===> btop++ v.1.4.0
2025/02/20 (22:50:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (02:39:26) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (12:15:41) | ===> btop++ v.1.4.0
2025/02/21 (12:15:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (12:26:36) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (05:18:41) | ===> btop++ v.1.4.0
2025/02/27 (05:18:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (05:23:11) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (06:11:45) | ===> btop++ v.1.4.0
2025/02/27 (06:11:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (06:11:58) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (06:20:13) | ===> btop++ v.1.4.0
2025/02/27 (06:20:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (07:24:35) | ===> btop++ v.1.4.0
2025/02/28 (07:24:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/28 (07:24:50) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (13:34:44) | ===> btop++ v.1.4.0
2025/03/01 (13:34:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (13:43:21) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (14:31:05) | ===> btop++ v.1.4.0
2025/03/01 (14:31:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (14:31:09) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (17:06:40) | ===> btop++ v.1.4.0
2025/03/03 (17:06:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (17:06:45) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (17:06:58) | ===> btop++ v.1.4.0
2025/03/03 (17:06:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (17:07:03) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (19:47:10) | ===> btop++ v.1.4.0
